,channel_id,followers_gain,last_streamed_game,channel_country,stream_language,partnership_status,channel_type,hours_watched,airtime_in_m,platform,channel_name,peak_viewers,average_viewers,live_views
0,36029255,63633,League of Legends,,en,partner,Organization,10347268,73.8,twitch,riotgames,451088,140144,18089295.0
1,156037856,48484,Overwatch 2,,en,partner,Organization,4709216,101.4,twitch,fextralife,92467,46435,7947278.0
3,87056709,34726,Dota 2,RO,en,partner,Organization,3839088,58.8,twitch,pgl_dota2,155951,65254,14999932.0
4,622498423,5465,League of Legends,FR,fr,partner,Organization,2750139,168.0,twitch,otplol_,111180,16371,3935568.0
7,22346597,8642,League of Legends,ES,es,partner,Organization,2070739,71.1,twitch,lvpes,118126,29132,4242831.0
10,190835892,4681,League of Legends,KR,ko,partner,Organization,1828616,38.0,twitch,lck_korea,131451,48122,6340692.0
12,194701696,24367,Dota 2,RO,en,partner,Organization,1652477,45.5,twitch,pgl_dota2en2,96051,36319,5301720.0
16,129339704,19819,Dota 2,RU,ru,partner,Organization,1571742,58.2,twitch,betboom_ru,72825,27022,6303083.0
17,142055874,8603,League of Legends,,es,partner,Organization,1561994,36.8,twitch,lla,79715,42504,1812941.0
21,36511475,3202,League of Legends,BR,pt,partner,Organization,1203362,35.2,twitch,cblol,60066,34139,1497236.0
24,31239503,10042,Counter-Strike: Global Offensive,,en,partner,Organization,1019211,162.2,twitch,esl_csgo,76475,6283,4268108.0
35,57781936,8320,Rocket League,,en,partner,Organization,829198,35.3,twitch,rocketleague,66556,23469,2112103.0
47,40336240,1810,League of Legends,DE,de,partner,Organization,722560,73.7,twitch,summonersinnlive,37298,9809,1162568.0
63,485855940,2201,League of Legends,TW,zh,partner,Organization,560699,35.2,twitch,lolpacifictw,36566,15907,1298045.0
66,214062798,3720,Super Smash Bros. Melee,,en,partner,Organization,524728,155.2,twitch,btssmash,75423,3383,1444349.0
73,194702141,25694,Dota 2,,en,partner,Organization,462726,21.4,twitch,pgl_dota2en4,111167,21607,2976186.0
85,65171890,2403,Tom Clancy's Rainbow Six Siege,,en,partner,Organization,422310,31.1,twitch,rainbow6,29284,13587,759206.0
90,652452451,16842,Just Chatting,PL,pl,partner,Organization,400799,61.8,twitch,meduska,12537,6483,
91,30220059,1078,StarCraft II,,en,partner,Organization,400709,166.3,twitch,esl_sc2,13298,2410,704917.0
93,104833324,1188,League of Legends,JP,ja,partner,Organization,392318,35.8,twitch,riotgamesjp,20920,10949,623958.0
95,35936871,4059,Counter-Strike: Global Offensive,,en,partner,Organization,391938,21.6,twitch,esl_csgob,56095,18160,1469738.0
96,194701994,23912,Dota 2,,en,partner,Organization,385075,19.6,twitch,pgl_dota2en3,57689,19664,3457789.0
