Rank,Username,UserID,GrossEarning
1,CriticalRole,229729353,9626712.16
2,xQcOW,71092938,8454427.17
3,summit1g,26490481,5847541.17
4,Tfue,60056333,5295582.44
5,NICKMERCS,15564828,5096642.12
6,ludwig,40934651,3290777.55
7,TimTheTatman,36769016,3290133.32
8,Altoar,29279425,3053839.94
9,auronplay,459331509,3053341.54
10,LIRIK,23161357,2984653.7
11,__unknown__,17337557,2863780.63
12,Gaules,181077473,2844985.18
13,HasanAbi,207813352,2810480.11
14,Asmongold,26261471,2551618.73
15,loltyler1,51496027,2490584.9
16,RanbooLive,489155160,2401021.84
17,MontanaBlack88,45044816,2391369.58
18,ibai,83232866,2314485.53
19,Castro_1021,52091823,2311021.81
20,MOONMOON,121059319,2236043.55
21,TheRealKnossi,71588578,2157258.23
22,moistcr1tikal,132230344,2098742.63
23,Mizkif,94753024,2086548.21
24,CohhCarnage,26610234,2061059.29
25,shroud,37402112,2040503.15
26,AdmiralBahroo,40972890,1985892.39
27,Pestily,106013742,1961086.96
28,Sykkuno,26154978,1916327.43
29,ESL_CSGO,31239503,1903580.27
30,LVNDMARK,427632467,1902807.22
31,DrLupo,29829912,1894615.81
32,AdinRoss,59299632,1854656.42
33,Clix,233300375,1843917.31
34,TeePee,23844396,1786534.47
35,Rubius,39276140,1764965.15
36,PaymoneyWubby,38251312,1756486.29
37,alanzoka,38244180,1731716.65
38,Trainwreckstv,71190292,1572912.37
39,pokimane,44445592,1528303.11
40,tommyinnit,116228390,1513217.7
41,Maximilian_DOOD,30104304,1499562.93
42,GRONKH,12875057,1481291.05
43,sodapoppin,26301881,1461302.14
44,ZeratoR,41719107,1440221.4
45,BobbyPoffGaming,212682921,1415247.01
46,Ninja,19571641,1378791.48
47,Philza,3389768,1364215.61
48,Amouranth,125387632,1363346.32
49,BruceGreene,59250665,1360850.67
50,Odablock,177730578,1354805.74
51,RayNarvaezJr,85875635,1335520.12
52,Symfuhny,31688366,1334485.63
53,dakotaz,39298218,1324198.49
54,ZanoXVII,75830338,1310925.8
55,SypherPK,32140000,1295112.63
56,Trymacs,64342766,1288207.23
57,TheGrefg,48878319,1286765.09
58,Papaplatte,50985620,1286004.35
59,JohnPitterTV,38842801,1215717.01
60,RATIRL,57292293,1214440.08
61,RocketLeague,57781936,1204908.7
62,NoWay4u_Sir,85397463,1188728.95
63,GamesDoneQuick,22510310,1185456.44
64,GernaderJake,1423946,1176353.74
65,fps_shaka,49207184,1173280.3
66,EsfandTV,38746172,1170700.02
67,buddha,136765278,1158170.55
68,Locklear,137347549,1155665.61
69,stylishnoob4,50988750,1147599.76
70,ANGRYPUG,63164470,1146888.15
71,Sintica,35884167,1075977.17
72,Fresh,38594688,1073254.63
73,Quackity,48526626,1065157.18
74,RonnieRadke,463086691,1063989.05
76,KYR_SP33DY,11001241,1052545.35
77,Gladd,81628627,1045687.54
78,juansguarnizo,121510236,1034709.27
79,Bugha,82524912,1034227.61
80,NickEh30,44424631,1027976.4
81,Tubbo,223191589,1000504.31
82,Pikabooirl,27992608,994116.76
83,RatedEpicz,50237189,987866.88
84,Swagg,39724467,984854.8
85,Shotz,112822444,984477.46
86,CDNThe3rd,14408894,976750.53
87,Tumblurr,77827128,960316.77
88,Aydan,120244187,953042.02
89,ops1x,185619753,947355.14
90,scump,13240194,946332.99
91,BarbarousKing,56865374,933633.48
92,julien,85581832,918684.35
93,mang0,26551727,916857.66
94,Kitboga,32787655,915795.53
95,chocoTaco,69906737,913022.39
96,alexelcapo,36138196,911427.22
97,Anomaly,76508554,908794.96
98,Jerma985,23936415,906602.0
99,The8BitDrummer,63321379,895020.23
100,TSM_ImperialHal,146922206,886999.17
101,Northernlion,14371185,885361.18
102,ChilledChaos,9528182,883566.24
103,Kamet0,27115917,875390.99
104,lilypichu,31106024,863676.09
105,daltoosh,260722430,856401.39
106,mistermv,28575692,845325.33
107,HusKerrs,30079255,843030.68
108,OgamingLoL,71852533,842794.96
109,nl_Kripp,29795919,839495.65
110,Cellbit,28579002,837794.54
111,cloakzy,81687332,832019.92
112,Syndicate,16764225,829355.78
113,Quin69,56649026,825664.85
114,ELoTRiX,43286888,813454.11
115,imaqtpie,24991333,809976.21
116,Gotaga,24147592,807133.41
117,Nick28T,49303276,806468.59
118,forsen,22484632,806443.92
119,JASONR,103262684,802987.26
120,Ramee,95873995,795538.88
121,chowh1,117168642,792789.64
122,PietSmiet,21991090,792404.67
123,LosPollosTV,61433001,782537.02
124,POW3Rtv,38499199,778962.76
125,Shlorox,40784764,776253.88
126,GMHikaru,103268673,773831.12
127,Lord_Kebun,163836275,772591.09
128,Myth,110690086,771269.45
129,chessbrah,25259668,767384.56
130,SmallAnt,117349875,767021.78
131,AnthonyZ,119415848,764149.47
132,slEEPy,135052907,760127.72
133,AvoidingThePuddle,23528098,757872.38
134,LCS,124420521,747317.59
135,Sardoche,50795214,743215.01
136,Dhalucard,16064695,736662.21
137,Nmplol,21841789,732946.56
138,CaptainSparklez,15554591,728635.8
139,fl0m,25093116,727817.81
140,DougisRaw,54498880,721707.76
141,Domingo,40063341,720803.7
142,IlloJuan,90075649,717497.94
143,UberHaxorNova,7010591,716741.36
144,Baiano,140772558,715164.26
145,dasMEHDI,31557869,713632.27
146,Hitchariide,37853510,713465.98
147,Hungrybox,30666848,713206.3
148,Nagzz21,32043488,712081.29
149,lilsimsie,109809539,710612.86
150,TSM_Viss,90020006,703326.25
3189,goncho,114635439,68194.78
374,Chap,192678094,403384.61
""
